Day,Month,Year,Plate,Day,Well,Alive,Molted
7,September,2019,04-Sep-19 B,3,C3,1,1
7,September,2019,04-Sep-19 B,3,C4,1,0
8,September,2019,04-Sep-19 A,4,A1,1,0
8,September,2019,04-Sep-19 A,4,A2,1,0
8,September,2019,04-Sep-19 A,4,A3,1,0
8,September,2019,04-Sep-19 A,4,A4,1,0
8,September,2019,04-Sep-19 A,4,B1,1,0
8,September,2019,04-Sep-19 A,4,B2,1,0
8,September,2019,04-Sep-19 A,4,B3,1,0
8,September,2019,04-Sep-19 A,4,B4,1,0
8,September,2019,04-Sep-19 A,4,C1,1,0
8,September,2019,04-Sep-19 A,4,C2,1,0
8,September,2019,04-Sep-19 A,4,C3,1,0
8,September,2019,04-Sep-19 A,4,C4,1,0
8,September,2019,04-Sep-19 B,4,A1,1,0
8,September,2019,04-Sep-19 B,4,A2,1,0
8,September,2019,04-Sep-19 B,4,A3,1,0
8,September,2019,04-Sep-19 B,4,A4,1,0
8,September,2019,04-Sep-19 B,4,B1,1,0
8,September,2019,04-Sep-19 B,4,B2,1,0
8,September,2019,04-Sep-19 B,4,B3,1,0
8,September,2019,04-Sep-19 B,4,B4,1,0
8,September,2019,04-Sep-19 B,4,C1,1,1
8,September,2019,04-Sep-19 B,4,C2,1,0
8,September,2019,04-Sep-19 B,4,C3,1,1
8,September,2019,04-Sep-19 B,4,C4,1,0
9,September,2019,04-Sep-19 A,5,A1,1,0
9,September,2019,04-Sep-19 A,5,A2,1,0
9,September,2019,04-Sep-19 A,5,A3,1,1
9,September,2019,04-Sep-19 A,5,A4,1,1
9,September,2019,04-Sep-19 A,5,B1,1,0
9,September,2019,04-Sep-19 A,5,B2,1,0
9,September,2019,04-Sep-19 A,5,B3,1,0
9,September,2019,04-Sep-19 A,5,B4,0,0
9,September,2019,04-Sep-19 A,5,C1,1,1
9,September,2019,04-Sep-19 A,5,C2,1,0
9,September,2019,04-Sep-19 A,5,C3,0,0
9,September,2019,04-Sep-19 A,5,C4,1,0
9,September,2019,04-Sep-19 B,5,A1,1,0
9,September,2019,04-Sep-19 B,5,A2,1,0
9,September,2019,04-Sep-19 B,5,A3,1,0
9,September,2019,04-Sep-19 B,5,A4,1,0
9,September,2019,04-Sep-19 B,5,B1,1,0
9,September,2019,04-Sep-19 B,5,B2,1,1
9,September,2019,04-Sep-19 B,5,B3,1,1
9,September,2019,04-Sep-19 B,5,B4,1,1
9,September,2019,04-Sep-19 B,5,C1,1,1
9,September,2019,04-Sep-19 B,5,C2,1,0
9,September,2019,04-Sep-19 B,5,C3,1,0
9,September,2019,04-Sep-19 B,5,C4,1,0
10,September,2019,04-Sep-19 A,6,A1,1,0
10,September,2019,04-Sep-19 A,6,A2,1,0
10,September,2019,04-Sep-19 A,6,A3,1,0
10,September,2019,04-Sep-19 A,6,A4,1,0
10,September,2019,04-Sep-19 A,6,B1,1,0
10,September,2019,04-Sep-19 A,6,B2,1,1
10,September,2019,04-Sep-19 A,6,B3,1,0
10,September,2019,04-Sep-19 A,6,B4,0,0
10,September,2019,04-Sep-19 A,6,C1,1,0
10,September,2019,04-Sep-19 A,6,C2,1,1
10,September,2019,04-Sep-19 A,6,C3,0,0
10,September,2019,04-Sep-19 A,6,C4,1,0
10,September,2019,04-Sep-19 B,6,A1,1,0
10,September,2019,04-Sep-19 B,6,A2,1,1
10,September,2019,04-Sep-19 B,6,A3,1,1
10,September,2019,04-Sep-19 B,6,A4,1,0
10,September,2019,04-Sep-19 B,6,B1,1,0
10,September,2019,04-Sep-19 B,6,B2,1,0
10,September,2019,04-Sep-19 B,6,B3,1,0
10,September,2019,04-Sep-19 B,6,B4,1,0
10,September,2019,04-Sep-19 B,6,C1,1,0
10,September,2019,04-Sep-19 B,6,C2,1,1
10,September,2019,04-Sep-19 B,6,C3,1,1
10,September,2019,04-Sep-19 B,6,C4,1,1
11,September,2019,04-Sep-19 A,7,A1,1,0
11,September,2019,04-Sep-19 A,7,A2,0,0
11,September,2019,04-Sep-19 A,7,A3,1,0
11,September,2019,04-Sep-19 A,7,A4,1,0
11,September,2019,04-Sep-19 A,7,B1,1,1
11,September,2019,04-Sep-19 A,7,B2,1,1
11,September,2019,04-Sep-19 A,7,B3,1,0
11,September,2019,04-Sep-19 A,7,B4,0,0
11,September,2019,04-Sep-19 A,7,C1,1,0
11,September,2019,04-Sep-19 A,7,C2,1,1
11,September,2019,04-Sep-19 A,7,C3,0,0
11,September,2019,04-Sep-19 A,7,C4,1,1
11,September,2019,04-Sep-19 B,7,A1,1,0
11,September,2019,04-Sep-19 B,7,A2,1,0
11,September,2019,04-Sep-19 B,7,A3,1,1
11,September,2019,04-Sep-19 B,7,A4,1,1
11,September,2019,04-Sep-19 B,7,B1,1,1
11,September,2019,04-Sep-19 B,7,B2,1,0
11,September,2019,04-Sep-19 B,7,B3,1,0
11,September,2019,04-Sep-19 B,7,B4,0,0
11,September,2019,04-Sep-19 B,7,C1,1,0
11,September,2019,04-Sep-19 B,7,C2,1,0
11,September,2019,04-Sep-19 B,7,C3,1,0
11,September,2019,04-Sep-19 B,7,C4,1,1
12,September,2019,04-Sep-19 A,8,A1,1,0
12,September,2019,04-Sep-19 A,8,A2,0,0
12,September,2019,04-Sep-19 A,8,A3,1,0
12,September,2019,04-Sep-19 A,8,A4,1,0
12,September,2019,04-Sep-19 A,8,B1,1,0
12,September,2019,04-Sep-19 A,8,B2,1,0
12,September,2019,04-Sep-19 A,8,B3,1,0
12,September,2019,04-Sep-19 A,8,B4,0,0
12,September,2019,04-Sep-19 A,8,C1,1,0
12,September,2019,04-Sep-19 A,8,C2,1,0
12,September,2019,04-Sep-19 A,8,C3,0,0
12,September,2019,04-Sep-19 A,8,C4,1,1
12,September,2019,04-Sep-19 B,8,A1,1,0
12,September,2019,04-Sep-19 B,8,A2,0,0
12,September,2019,04-Sep-19 B,8,A3,1,0
12,September,2019,04-Sep-19 B,8,A4,1,1
12,September,2019,04-Sep-19 B,8,B1,1,0
12,September,2019,04-Sep-19 B,8,B2,1,0
12,September,2019,04-Sep-19 B,8,B3,0,0
12,September,2019,04-Sep-19 B,8,B4,0,0
12,September,2019,04-Sep-19 B,8,C1,1,0
12,September,2019,04-Sep-19 B,8,C2,1,0
12,September,2019,04-Sep-19 B,8,C3,1,0
12,September,2019,04-Sep-19 B,8,C4,0,0
13,September,2019,04-Sep-19 A,9,A1,1,0
13,September,2019,04-Sep-19 A,9,A2,0,0
13,September,2019,04-Sep-19 A,9,A3,1,0
13,September,2019,04-Sep-19 A,9,A4,1,0
13,September,2019,04-Sep-19 A,9,B1,1,0
13,September,2019,04-Sep-19 A,9,B2,1,0
13,September,2019,04-Sep-19 A,9,B3,1,0
13,September,2019,04-Sep-19 A,9,B4,0,0
13,September,2019,04-Sep-19 A,9,C1,1,0
13,September,2019,04-Sep-19 A,9,C2,1,0
13,September,2019,04-Sep-19 A,9,C3,0,0
13,September,2019,04-Sep-19 A,9,C4,1,1
13,September,2019,04-Sep-19 B,9,A1,1,0
13,September,2019,04-Sep-19 B,9,A2,0,0
13,September,2019,04-Sep-19 B,9,A3,1,0
13,September,2019,04-Sep-19 B,9,A4,1,1
13,September,2019,04-Sep-19 B,9,B1,1,0
13,September,2019,04-Sep-19 B,9,B2,1,0
13,September,2019,04-Sep-19 B,9,B3,0,0
13,September,2019,04-Sep-19 B,9,B4,0,0
13,September,2019,04-Sep-19 B,9,C1,1,0
13,September,2019,04-Sep-19 B,9,C2,1,0
13,September,2019,04-Sep-19 B,9,C3,1,0
13,September,2019,04-Sep-19 B,9,C4,0,0
14,September,2019,04-Sep-19 A,10,A1,1,0
14,September,2019,04-Sep-19 A,10,A2,0,0
14,September,2019,04-Sep-19 A,10,A3,1,1
14,September,2019,04-Sep-19 A,10,A4,1,1
14,September,2019,04-Sep-19 A,10,B1,0,0
14,September,2019,04-Sep-19 A,10,B2,1,0
14,September,2019,04-Sep-19 A,10,B3,1,1
14,September,2019,04-Sep-19 A,10,B4,0,0
14,September,2019,04-Sep-19 A,10,C1,0,0
14,September,2019,04-Sep-19 A,10,C2,0,0
14,September,2019,04-Sep-19 A,10,C3,0,0
14,September,2019,04-Sep-19 A,10,C4,1,0
14,September,2019,04-Sep-19 B,10,A1,0,0
14,September,2019,04-Sep-19 B,10,A2,0,0
14,September,2019,04-Sep-19 B,10,A3,1,1
14,September,2019,04-Sep-19 B,10,A4,1,1
14,September,2019,04-Sep-19 B,10,B1,1,0
14,September,2019,04-Sep-19 B,10,B2,1,0
14,September,2019,04-Sep-19 B,10,B3,0,0
14,September,2019,04-Sep-19 B,10,B4,0,0
14,September,2019,04-Sep-19 B,10,C1,1,0
14,September,2019,04-Sep-19 B,10,C2,1,0
14,September,2019,04-Sep-19 B,10,C3,1,1
14,September,2019,04-Sep-19 B,10,C4,0,0
15,September,2019,04-Sep-19 A,11,A1,1,1
15,September,2019,04-Sep-19 A,11,A2,0,0
15,September,2019,04-Sep-19 A,11,A3,0,0
15,September,2019,04-Sep-19 A,11,A4,1,1
15,September,2019,04-Sep-19 A,11,B1,0,0
15,September,2019,04-Sep-19 A,11,B2,0,0
15,September,2019,04-Sep-19 A,11,B3,1,1
15,September,2019,04-Sep-19 A,11,B4,0,0
15,September,2019,04-Sep-19 A,11,C1,0,0
15,September,2019,04-Sep-19 A,11,C2,0,0
15,September,2019,04-Sep-19 A,11,C3,0,0
15,September,2019,04-Sep-19 A,11,C4,1,0
15,September,2019,04-Sep-19 B,11,A1,0,0
15,September,2019,04-Sep-19 B,11,A2,0,0
15,September,2019,04-Sep-19 B,11,A3,0,0
15,September,2019,04-Sep-19 B,11,A4,1,1
15,September,2019,04-Sep-19 B,11,B1,0,0
15,September,2019,04-Sep-19 B,11,B2,1,1
15,September,2019,04-Sep-19 B,11,B3,0,0
15,September,2019,04-Sep-19 B,11,B4,0,0
15,September,2019,04-Sep-19 B,11,C1,1,0
15,September,2019,04-Sep-19 B,11,C2,0,0
15,September,2019,04-Sep-19 B,11,C3,1,0
15,September,2019,04-Sep-19 B,11,C4,0,0
16,September,2019,04-Sep-19 A,12,A1,1,0
16,September,2019,04-Sep-19 A,12,A2,0,0
16,September,2019,04-Sep-19 A,12,A3,0,0
16,September,2019,04-Sep-19 A,12,A4,0,0
16,September,2019,04-Sep-19 A,12,B1,0,0
16,September,2019,04-Sep-19 A,12,B2,0,0
16,September,2019,04-Sep-19 A,12,B3,1,0
16,September,2019,04-Sep-19 A,12,B4,0,0
16,September,2019,04-Sep-19 A,12,C1,0,0
16,September,2019,04-Sep-19 A,12,C2,0,0
16,September,2019,04-Sep-19 A,12,C3,0,0
16,September,2019,04-Sep-19 A,12,C4,1,0
16,September,2019,04-Sep-19 B,12,A1,0,0
16,September,2019,04-Sep-19 B,12,A2,0,0
16,September,2019,04-Sep-19 B,12,A3,0,0
16,September,2019,04-Sep-19 B,12,A4,1,0
16,September,2019,04-Sep-19 B,12,B1,0,0
16,September,2019,04-Sep-19 B,12,B2,1,0
16,September,2019,04-Sep-19 B,12,B3,0,0
16,September,2019,04-Sep-19 B,12,B4,0,0
16,September,2019,04-Sep-19 B,12,C1,0,0
16,September,2019,04-Sep-19 B,12,C2,0,0
16,September,2019,04-Sep-19 B,12,C3,1,0
16,September,2019,04-Sep-19 B,12,C4,0,0
17,September,2019,04-Sep-19 A,13,A1,1,1
17,September,2019,04-Sep-19 A,13,A2,0,0
17,September,2019,04-Sep-19 A,13,A3,0,0
17,September,2019,04-Sep-19 A,13,A4,0,0
17,September,2019,04-Sep-19 A,13,B1,0,0
17,September,2019,04-Sep-19 A,13,B2,0,0
17,September,2019,04-Sep-19 A,13,B3,1,0
17,September,2019,04-Sep-19 A,13,B4,0,0
17,September,2019,04-Sep-19 A,13,C1,0,0
17,September,2019,04-Sep-19 A,13,C2,0,0
17,September,2019,04-Sep-19 A,13,C3,0,0
17,September,2019,04-Sep-19 A,13,C4,1,1
17,September,2019,04-Sep-19 B,13,A1,0,0
17,September,2019,04-Sep-19 B,13,A2,0,0
17,September,2019,04-Sep-19 B,13,A3,0,0
17,September,2019,04-Sep-19 B,13,A4,1,0
17,September,2019,04-Sep-19 B,13,B1,0,0
17,September,2019,04-Sep-19 B,13,B2,1,0
17,September,2019,04-Sep-19 B,13,B3,0,0
17,September,2019,04-Sep-19 B,13,B4,0,0
17,September,2019,04-Sep-19 B,13,C1,0,0
17,September,2019,04-Sep-19 B,13,C2,0,0
17,September,2019,04-Sep-19 B,13,C3,1,0
17,September,2019,04-Sep-19 B,13,C4,0,0
18,September,2019,04-Sep-19 A,14,A1,0,0
18,September,2019,04-Sep-19 A,14,A2,0,0
18,September,2019,04-Sep-19 A,14,A3,0,0
18,September,2019,04-Sep-19 A,14,A4,0,0
18,September,2019,04-Sep-19 A,14,B1,0,0
18,September,2019,04-Sep-19 A,14,B2,0,0
18,September,2019,04-Sep-19 A,14,B3,1,0
18,September,2019,04-Sep-19 A,14,B4,0,0
18,September,2019,04-Sep-19 A,14,C1,0,0
18,September,2019,04-Sep-19 A,14,C2,0,0
18,September,2019,04-Sep-19 A,14,C3,0,0
18,September,2019,04-Sep-19 A,14,C4,0,0
18,September,2019,04-Sep-19 B,14,A1,0,0
18,September,2019,04-Sep-19 B,14,A2,0,0
18,September,2019,04-Sep-19 B,14,A3,0,0
18,September,2019,04-Sep-19 B,14,A4,1,1
18,September,2019,04-Sep-19 B,14,B1,0,0
18,September,2019,04-Sep-19 B,14,B2,0,0
18,September,2019,04-Sep-19 B,14,B3,0,0
18,September,2019,04-Sep-19 B,14,B4,0,0
18,September,2019,04-Sep-19 B,14,C1,0,0
18,September,2019,04-Sep-19 B,14,C2,0,0
18,September,2019,04-Sep-19 B,14,C3,1,0
18,September,2019,04-Sep-19 B,14,C4,0,0
